Yr Mo Da Hr dur Lat Lon Calc Site
1983 10 27 900 600 40.37 -75.93 0.0 702
1983 10 27 900 600 40.78 -74.67 0.0 703
1983 10 27 900 600 41.02 -75.9 0.0 704
1983 10 27 900 600 42.45 -76.45 0.0 708
1983 10 27 900 600 43.07 -76.83 0.0 710
1983 10 27 900 600 44.68 -77.15 0.0 753
1983 10 27 900 600 44.28 -77.78 0.0 754
1983 10 27 900 600 44.93 -78.72 0.0 756
1983 10 27 900 600 39.93 -74.7 0.0 802
1983 10 27 900 600 40.45 -74.8 0.0 803
1983 10 27 900 600 40.9 -74.6 0.0 804
1983 10 27 900 600 41.3 -74.67 4.581725988221189 805
1983 10 27 900 600 41.63 -74.8 4.269139931327858 806
1983 10 27 900 600 42.08 -74.97 1.670886567353237 807
1983 10 27 900 600 42.47 -75.07 0.0 808
1983 10 27 900 600 42.92 -75.12 0.0 809
1983 10 27 900 600 43.23 -75.4 0.0 810
1983 10 27 900 600 43.58 -75.52 0.0 811
1983 10 27 900 600 44.48 -76.03 0.0 852
1983 10 27 900 600 40.67 -73.52 28.52820447411168 902
1983 10 27 900 600 43.97 -74.1 0.0 910
1983 10 27 900 600 44.8 -75.0 0.0 912
1983 10 27 900 600 45.55 -75.52 0.0 952
1983 10 27 900 600 41.1 -72.37 1154.8067843086037 2
1983 10 27 900 600 41.95 -72.3 3764.4331031230386 4
1983 10 27 900 600 45.98 -74.0 0.0 52
1983 10 27 900 600 41.73 -71.43 5336.4059675900635 102
1983 10 27 900 600 42.7 -71.17 2014.2827712287126 104
1983 10 27 900 600 44.27 -71.3 0.0 106
1983 10 27 900 600 44.4 -71.18 0.0 107
1983 10 27 900 600 44.93 -72.2 0.0 108
1983 10 27 1200 600 41.83 -75.87 0.0 706
1983 10 27 1200 600 41.27 -73.8 38.77222326111313 904
1983 10 27 1500 600 40.43 -79.15 0.0 404
1983 10 27 1500 600 40.82 -79.53 0.0 406
1983 10 27 1500 600 41.2 -79.43 0.0 408
1983 10 27 1500 600 42.08 -80.18 0.0 412
1983 10 27 1500 600 42.67 -81.15 0.0 454
1983 10 27 1500 600 40.2 -78.25 0.0 502
1983 10 27 1500 600 40.67 -78.23 0.0 504
1983 10 27 1500 600 41.3 -78.48 0.0 506
1983 10 27 1500 600 42.25 -78.8 0.0 510
1983 10 27 1500 600 43.52 -79.92 0.0 554
1983 10 27 1500 600 43.98 -80.75 0.0 556
1983 10 27 1500 600 39.92 -76.75 0.0 602
1983 10 27 1500 600 41.25 -76.92 0.0 606
1983 10 27 1500 600 41.98 -77.57 0.0 608
1983 10 27 1500 600 42.42 -77.57 0.0 610
1983 10 27 1500 600 43.03 -78.18 0.0 614
1983 10 27 1500 600 43.92 -78.67 0.0 652
1983 10 27 1500 600 44.23 -78.37 0.0 653
1983 10 27 1500 600 44.62 -79.53 0.0 654
1983 10 27 1500 600 40.37 -75.93 0.0 702
1983 10 27 1500 600 40.78 -74.67 0.0 703
1983 10 27 1500 600 41.02 -75.9 0.0 704
1983 10 27 1500 600 42.45 -76.45 0.0 708
1983 10 27 1500 600 43.07 -76.83 0.0 710
1983 10 27 1500 600 44.68 -77.15 0.0 753
1983 10 27 1500 600 44.28 -77.78 0.0 754
1983 10 27 1500 600 44.93 -78.72 0.0 756
1983 10 27 1500 600 39.93 -74.7 0.0 802
1983 10 27 1500 600 40.45 -74.8 0.0 803
1983 10 27 1500 600 40.9 -74.6 0.0 804
1983 10 27 1500 600 41.3 -74.67 0.0 805
1983 10 27 1500 600 41.63 -74.8 0.0 806
1983 10 27 1500 600 42.08 -74.97 0.0 807
1983 10 27 1500 600 42.47 -75.07 0.0 808
1983 10 27 1500 600 42.92 -75.12 0.0 809
1983 10 27 1500 600 43.23 -75.4 0.0 810
1983 10 27 1500 600 43.58 -75.52 0.0 811
1983 10 27 1500 600 44.48 -76.03 0.0 852
1983 10 27 1500 600 40.67 -73.52 0.0 902
1983 10 27 1500 600 43.05 -74.2 0.0 908
1983 10 27 1500 600 43.97 -74.1 0.0 910
1983 10 27 1500 600 44.8 -75.0 0.0 912
1983 10 27 1500 600 45.55 -75.52 0.0 952
1983 10 27 1500 600 41.1 -72.37 54.32554893742126 2
1983 10 27 1500 600 41.95 -72.3 22.29658966268825 4
1983 10 27 1500 600 41.73 -71.43 166.196308270977 102
1983 10 27 1500 600 42.7 -71.17 4.116012712329848 104
1983 10 27 1500 600 44.27 -71.3 0.0 106
1983 10 27 1500 600 44.4 -71.18 0.0 107
1983 10 27 1500 600 44.93 -72.2 0.0 108
1983 10 27 1800 600 41.83 -75.87 0.0 706
1983 10 27 1800 600 41.27 -73.8 0.0 904
1983 10 27 2100 600 40.43 -79.15 0.0 404
1983 10 27 2100 600 40.82 -79.53 0.0 406
1983 10 27 2100 600 41.2 -79.43 0.0 408
1983 10 27 2100 600 42.08 -80.18 0.0 412
1983 10 27 2100 600 40.2 -78.25 0.0 502
1983 10 27 2100 600 40.67 -78.23 0.0 504
1983 10 27 2100 600 41.3 -78.48 0.0 506
1983 10 27 2100 600 42.25 -78.8 0.0 510
1983 10 27 2100 600 39.92 -76.75 0.0 602
1983 10 27 2100 600 41.25 -76.92 0.0 606
1983 10 27 2100 600 41.98 -77.57 0.0 608
1983 10 27 2100 600 42.42 -77.57 0.0 610
1983 10 27 2100 600 43.03 -78.18 0.0 614
1983 10 27 2100 600 40.37 -75.93 0.0 702
1983 10 27 2100 600 40.78 -74.67 0.0 703
1983 10 27 2100 600 41.02 -75.9 0.0 704
1983 10 27 2100 600 42.45 -76.45 0.0 708
1983 10 27 2100 600 43.07 -76.83 0.0 710
1983 10 27 2100 600 39.93 -74.7 0.0 802
1983 10 27 2100 600 40.45 -74.8 0.0 803
1983 10 27 2100 600 40.9 -74.6 0.0 804
1983 10 27 2100 600 41.3 -74.67 0.0 805
1983 10 27 2100 600 41.63 -74.8 0.0 806
1983 10 27 2100 600 42.08 -74.97 0.0 807
1983 10 27 2100 600 42.47 -75.07 0.0 808
1983 10 27 2100 600 42.92 -75.12 0.0 809
1983 10 27 2100 600 43.58 -75.52 0.0 811
1983 10 27 2100 600 40.67 -73.52 0.0 902
1983 10 27 2100 600 43.05 -74.2 0.0 908
1983 10 27 2100 600 43.97 -74.1 0.0 910
1983 10 27 2100 600 44.8 -75.0 0.0 912
1983 10 27 2100 600 41.1 -72.37 0.0 2
1983 10 27 2100 600 41.95 -72.3 0.0 4
1983 10 27 2100 600 41.73 -71.43 0.0 102
1983 10 27 2100 600 42.7 -71.17 0.0 104
1983 10 27 2100 600 44.27 -71.3 0.0 106
1983 10 27 2100 600 44.4 -71.18 0.0 107
1983 10 27 2100 600 44.93 -72.2 0.0 108
1983 10 28 300 600 40.43 -79.15 0.0 404
1983 10 28 300 600 40.82 -79.53 0.0 406
1983 10 28 300 600 40.2 -78.25 0.0 502
1983 10 28 300 600 40.67 -78.23 0.0 504
1983 10 28 300 600 41.3 -78.48 0.0 506
1983 10 28 300 600 39.92 -76.75 0.0 602
1983 10 28 300 600 41.25 -76.92 0.0 606
1983 10 28 300 600 40.37 -75.93 0.0 702
1983 10 28 300 600 40.78 -74.67 0.0 703
1983 10 28 300 600 41.02 -75.9 0.0 704
1983 10 28 300 600 39.93 -74.7 0.0 802
1983 10 28 300 600 40.45 -74.8 0.0 803
1983 10 28 300 600 42.47 -75.07 0.0 808
1983 10 28 300 600 43.23 -75.4 0.0 810
1983 10 28 300 600 40.67 -73.52 0.0 902
1983 10 28 300 600 43.97 -74.1 0.0 910
1983 10 28 300 600 41.1 -72.37 0.0 2
1983 10 28 300 600 41.73 -71.43 0.0 102
1983 10 28 300 600 42.7 -71.17 0.0 104
1983 10 28 300 600 44.27 -71.3 0.0 106
1983 10 28 300 600 44.4 -71.18 0.0 107
